NO,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"72,900","1,500",+2.10%,100,"4,351,971","5,969,783",56.14,"40,798,457",25.15,4.15,
2,SK하이닉스,"163,800","7,700",+4.93%,"5,000","1,192,468","728,002",54.36,"9,263,264",-25.85,-15.61,
3,LG에너지솔루션,"338,000","16,000",+4.97%,500,"790,920","234,000",4.72,"293,769",107.44,6.36,
4,삼성바이오로직스,"930,000","40,000",+4.49%,"2,500","661,918","71,174",12.70,"163,059",73.93,9.12,
5,현대차,"236,500","12,500",+5.58%,"5,000","495,269","209,416",40.62,"1,114,618",5.46,13.68,
6,삼성전자우,"58,300","2,200",+3.92%,100,"479,743","822,887",75.99,"1,753,746",20.11,N/A,
7,기아,"103,500","7,200",+7.48%,"5,000","413,853","399,858",41.54,"1,622,794",4.40,20.44,
8,셀트리온,"183,100",600,+0.33%,"1,000","397,315","216,993",23.09,"1,437,690",76.93,5.07,
9,KB금융,"80,600","3,800",+4.95%,"5,000","325,230","403,511",76.25,"1,841,239",7.78,8.44,
10,POSCO홀딩스,"332,000","17,500",+5.56%,"5,000","280,776","84,571",28.06,"547,017",18.57,3.18,
11,신한지주,"54,000","1,200",+2.27%,"5,000","275,072","509,393",60.61,"1,928,958",6.49,8.36,
12,NAVER,"159,200","3,100",+1.99%,100,"258,554","162,409",43.64,"954,228",17.72,4.41,
13,삼성물산,"136,600","1,300",+0.96%,100,"242,853","177,784",26.87,"400,833",11.28,7.28,
14,삼성SDI,"318,000","14,000",+4.61%,"5,000","218,671","68,765",38.69,"352,723",12.14,11.48,
15,LG화학,"292,000","19,500",+7.16%,"5,000","206,130","70,592",36.05,"434,115",22.85,4.20,
16,현대모비스,"213,500","9,500",+4.66%,"5,000","198,545","92,995",40.30,"189,319",5.83,8.73,
17,HD현대중공업,"204,500","18,500",+9.95%,"5,000","181,541","88,773",10.03,"502,869",245.79,0.47,
18,하나금융지주,"58,700","2,000",+3.53%,"5,000","171,613","292,357",69.61,"1,174,229",5.14,9.01,
19,삼성생명,"85,600","1,600",+1.90%,500,"171,200","200,000",20.77,"305,252",9.46,4.95,
20,카카오,"38,300","2,000",+5.51%,100,"169,839","443,443",26.73,"1,522,632",-16.75,-10.26,
21,포스코퓨처엠,"216,000","13,000",+6.40%,500,"167,321","77,463",9.41,"437,752",336.45,1.19,
22,삼성화재,"337,000","9,000",+2.74%,500,"159,653","47,375",54.19,"77,193",8.94,12.73,
23,LG전자,"90,300",600,+0.67%,"5,000","147,774","163,648",32.45,"1,200,147",22.79,3.69,
24,메리츠금융지주,"76,600","2,100",+2.82%,500,"146,092","190,720",16.72,"448,098",7.52,28.11,
25,크래프톤,"288,500","15,500",+5.68%,100,"138,164","47,890",39.96,"93,152",20.64,11.16,
26,HD한국조선해양,"192,200","19,400",+11.23%,"5,000","136,026","70,773",30.29,"934,949",24.71,2.26,
27,한화에어로스페이스,"265,000","2,000",-0.75%,"5,000","134,170","50,630",36.92,"1,210,800",33.91,25.60,
28,HMM,"17,300","1,020",+6.27%,"5,000","129,584","749,039",10.24,"2,315,788",8.58,4.59,
29,한국전력,"19,140",740,+4.02%,"5,000","122,872","641,964",14.56,"2,297,885",17.92,-12.63,
30,LG,"78,100",0,0.00%,"5,000","122,852","157,301",35.63,"189,966",10.86,4.89,
31,KT&G,"89,400","2,100",+2.41%,"5,000","116,508","130,322",44.55,"303,379",13.16,9.76,
32,SK텔레콤,"52,300",400,+0.77%,100,"112,335","214,790",41.99,"746,104",9.87,9.63,
33,두산에너빌리티,"16,880","1,020",+6.43%,"5,000","108,127","640,561",21.20,"6,923,335",83.15,0.78,
34,삼성에스디에스,"139,600","4,500",+3.33%,500,"108,019","77,378",19.24,"160,116",15.39,8.22,
35,우리금융지주,"14,310",330,+2.36%,"5,000","106,265","742,592",44.64,"3,808,008",4.41,8.30,
36,한미반도체,"108,500","5,900",+5.75%,100,"105,238","96,994",14.08,"1,876,841",51.86,55.54,
37,기업은행,"13,180",270,+2.09%,"5,000","105,101","797,426",15.36,"1,687,331",3.85,8.79,
38,삼성전기,"139,500","1,300",+0.94%,"5,000","104,198","74,694",34.71,"367,461",21.89,5.50,
39,HD현대일렉트릭,"284,500","20,000",+7.56%,"5,000","102,554","36,047",32.90,"1,012,431",31.66,27.71,
40,SK스퀘어,"74,800","4,400",+6.25%,100,"100,793","134,750",52.94,"255,851",-25.47,-8.04,
41,SK,"137,800","6,500",+4.95%,200,"99,909","72,503",23.58,"207,607",-13.70,-3.67,
42,고려아연,"468,500","14,000",+3.08%,"5,000","96,995","20,703",18.44,"29,246",19.38,5.72,
43,아모레퍼시픽,"165,300","5,600",+3.51%,500,"96,689","58,493",30.46,"380,679",66.57,3.72,
44,SK이노베이션,"100,100","7,300",+7.87%,"5,000","95,831","95,736",21.64,"463,406",31.33,1.22,
45,삼성중공업,"10,780",730,+7.26%,"1,000","94,864","880,000",32.05,"16,277,269",-63.41,-4.22,
46,카카오뱅크,"19,700",520,+2.71%,"5,000","93,954","476,926",16.29,"1,231,456",25.79,6.00,
47,KT,"36,700",350,-0.94%,"5,000","92,492","252,022",47.09,"920,146",8.73,6.05,
48,KODEX CD금리액티브(합성),"1,044,165",90,+0.01%,0,"89,781","8,598",0.01,"1,378,080",N/A,N/A,
49,한화오션,"29,300","2,350",+8.72%,"5,000","89,779","306,413",16.94,"1,946,526",22.43,6.33,
50,포스코인터내셔널,"48,700","1,600",+3.40%,"5,000","85,674","175,923",6.59,"963,399",12.80,13.36,
51,현대글로비스,"107,000",400,-0.37%,500,"80,250","75,000",42.46,"368,189",7.40,14.52,
52,대한항공,"20,250",350,+1.76%,"5,000","74,565","368,221",16.19,"988,196",6.22,11.46,
53,S-Oil,"65,200",400,+0.62%,"2,500","73,404","112,583",77.35,"287,377",8.95,10.83,
54,하이브,"172,800","2,700",+1.59%,500,"71,975","41,652",20.28,"244,175",39.94,6.58,
55,DB손해보험,"99,400","3,600",+3.76%,500,"70,375","70,800",47.94,"113,153",3.93,15.66,
56,유한양행,"86,700","3,900",+4.71%,"1,000","69,541","80,209",20.74,"850,126",55.76,6.74,
57,TIGER CD금리투자KIS(합성),"54,725",0,0.00%,0,"66,946","122,332",0.00,"243,881",N/A,N/A,
58,HD현대,"79,100","2,300",+2.99%,"1,000","62,484","78,993",19.66,"251,951",15.41,3.57,
59,SK바이오팜,"79,400","2,000",+2.58%,500,"62,181","78,313",10.57,"138,956",-351.33,-10.96,
60,KODEX 200,"34,390","1,130",+3.40%,0,"56,468","164,200",30.44,"12,625,580",N/A,N/A,
61,현대차2우B,"155,100","5,400",+3.61%,"5,000","55,463","35,759",62.90,"163,815",3.58,N/A,
62,LG이노텍,"234,000","16,500",+7.59%,"5,000","55,381","23,667",26.01,"182,881",8.93,12.59,
63,에코프로머티,"79,800","7,500",+10.37%,500,"55,118","69,071",24.44,"588,446",-558.04,0.91,
64,넷마블,"64,100","3,600",+5.95%,100,"55,096","85,954",25.25,"239,307",-25.23,-4.90,
65,LG생활건강,"344,000","17,000",+5.20%,"5,000","53,727","15,618",27.43,"75,550",38.60,2.65,
66,LG디스플레이,"10,460",380,+3.77%,"5,000","52,300","500,000",21.29,"1,713,124",-1.82,-31.95,
67,맥쿼리인프라,"12,000",410,+3.54%,0,"52,294","435,781",11.49,"1,569,334",N/A,N/A,
68,CJ제일제당,"345,000","2,000",+0.58%,"5,000","51,937","15,054",26.14,"26,601",11.99,5.55,
69,HD현대마린솔루션,"115,400","3,300",+2.94%,500,"51,295","44,450",1.42,"123,554",30.55,71.59,
70,한국타이어앤테크놀로지,"41,250","2,600",+6.73%,500,"51,098","123,875",39.90,"380,487",5.19,7.85,
71,삼성E&A,"25,900","1,300",+5.28%,"5,000","50,764","196,000",47.30,"1,397,837",6.88,24.45,
72,LS ELECTRIC,"168,000","10,600",+6.73%,"5,000","50,400","30,000",20.18,"775,472",21.55,12.61,
73,한국항공우주,"51,400","1,200",+2.39%,"5,000","50,102","97,475",31.82,"998,814",21.78,14.81,
74,현대로템,"44,700",0,0.00%,"5,000","48,787","109,142",24.53,"3,497,097",24.59,10.06,
75,SKC,"120,200","6,100",+5.35%,"5,000","45,518","37,868",16.28,"338,524",-20.57,-17.57,
76,삼성카드,"39,100",400,-1.01%,"5,000","45,301","115,859",6.92,"76,247",7.06,7.61,
77,KODEX KOFR금리액티브(합성),"107,615",5,0.00%,0,"44,957","41,776",0.00,"34,296",N/A,N/A,
78,삼양식품,"571,000","43,000",+8.14%,"5,000","43,014","7,533",15.14,"146,198",25.24,24.81,
79,NH투자증권,"13,120",410,+3.23%,"5,000","42,967","327,492",18.05,"1,104,067",7.70,7.50,
80,LG유플러스,"9,820",180,+1.87%,"5,000","42,875","436,611",35.22,"926,166",7.12,7.49,
81,HD현대미포,"106,500","5,500",+5.45%,"5,000","42,538","39,942",21.24,"693,533",-31.15,-6.96,
82,한진칼,"62,900","1,700",+2.78%,"2,500","41,993","66,762",21.96,"159,526",9.61,14.79,
83,LIG넥스원,"190,500","10,900",+6.07%,"5,000","41,910","22,000",21.03,"358,119",23.84,17.61,
84,현대오토에버,"152,300","7,800",+5.40%,500,"41,767","27,424",1.72,"86,789",31.63,9.01,
85,GS,"44,800",750,+1.70%,"5,000","41,626","92,915",23.37,"105,740",3.35,10.05,
86,미래에셋증권,"6,990",330,+4.95%,"5,000","41,613","595,316",13.63,"966,301",20.80,2.97,
87,두산로보틱스,"63,900","4,600",+7.76%,500,"41,420","64,820",3.45,"547,436",-257.66,-6.59,
88,TIGER 미국S&P500,"18,025",355,+2.01%,0,"41,079","227,900",0.00,"7,399,002",N/A,N/A,
89,SK바이오사이언스,"53,400","4,050",+8.21%,500,"41,026","76,828",6.74,"180,316",179.19,1.30,
90,코웨이,"55,500",0,0.00%,500,"40,959","73,800",60.20,"279,578",8.65,19.03,
91,포스코DX,"26,900","2,050",+8.25%,500,"40,897","152,035",6.62,"844,126",44.46,21.08,
92,한화솔루션,"23,450",500,+2.18%,"5,000","40,309","171,893",21.54,"997,335",-5.22,-2.48,
93,롯데케미칼,"92,800","3,700",+4.15%,"5,000","39,696","42,775",24.98,"121,223",-14.45,-0.33,
94,엔씨소프트,"174,500","14,100",+8.79%,500,"38,310","21,954",36.27,"150,283",24.62,6.58,
95,TIGER KOFR금리액티브(합성),"106,150",10,+0.01%,0,"38,064","35,859",0.00,"48,638",N/A,N/A,
96,금양,"64,500","8,400",+14.97%,500,"37,442","58,050",12.39,"742,975",-50.99,-38.52,
97,한국가스공사,"40,450","2,500",+6.59%,"5,000","37,341","92,313",6.85,"1,804,671",-7.65,-7.68,
98,한국금융지주,"66,900","3,200",+5.02%,"5,000","37,281","55,726",41.54,"212,690",5.52,8.81,
99,삼성증권,"41,700","1,400",+3.47%,"5,000","37,238","89,300",30.36,"345,247",6.80,8.54,
100,시프트업,"63,900","6,100",+10.55%,200,"37,078","58,026",1.19,"661,953",29.97,86.44,
